,Compound Score,Negative Score,Neutral Score,Positive Score,Source,Text,Tweets Ago
230,-0.3612,0.163,0.837,0.0,CNN,Serena Williams' fairytale return from maternity leave fell one match short as she lost to Angelique Kerber in the… https://t.co/5max8jzFCc,31
231,0.0,0.0,1.0,0.0,CNN,Secretary of State Mike Pompeo says President Trump should proceed with his summit with Russian President Vladimir… https://t.co/szEb8ClWru,32
232,-0.4215,0.149,0.851,0.0,CNN,"In Scotland, @PhilBlackCNN reports ""thousands of people"" have been rallying and protesting against Trump. One prote… https://t.co/3Z1l8nN5we",33
233,0.5859,0.0,0.798,0.202,CNN,"Germany's Angelique Kerber beats American Serena Williams 6-3, 6-3 to win her first Wimbledon championship… https://t.co/qvmrNpeovo",34
234,0.5859,0.0,0.798,0.202,CNN,"Germany's Angelique Kerber beats American Serena Williams 6-2, 6-3 to win her first Wimbledon championship… https://t.co/tJUTOpoTjR",35
235,0.4215,0.0,0.865,0.135,CNN,"""What happened to when we were united against a common enemy?"" CNN's @smerconish slams partisan reactions to the ""t… https://t.co/IQMCH75fBd",36
236,0.4939,0.083,0.744,0.174,CNN,"""Probably the best course of action is to cancel this meeting."" Democratic Rep. Mike Quigley says President Trump s… https://t.co/8UVkrBidZj",37
237,0.0,0.0,1.0,0.0,CNN,"Belgium beats England 2-0, finishing third place in the World Cup https://t.co/CgOfxgNZCd https://t.co/Rag2LuM3bW",38
238,0.128,0.115,0.705,0.181,CNN,Novak Djokovic outlasts Rafael Nadal in Wimbledon semifinal to reach his first grand slam final in two years… https://t.co/6lUvpufaOc,39
239,0.0258,0.0,0.927,0.073,CNN,Why Emmett Till's case matters to American history and our future https://t.co/dp49PtgYwG (via @CNNOpinion) https://t.co/4V6VYmNyfj,40
240,0.6597,0.0,0.748,0.252,CNN,A paragliding protester hovered within surprising proximity of Trump on Friday as the President admired the view fr… https://t.co/UB9Dgswldg,41
241,-0.1027,0.217,0.583,0.2,CNN,"Director of National Intelligence Dan Coats raises the alarm on growing cyberattack threats against the US, saying… https://t.co/sLfH84NISw",42
242,0.5106,0.0,0.732,0.268,CNN,How Finland has survived in Russia's dark shadow https://t.co/uaqYYKM8PB https://t.co/vCromYSYn4,43
243,-0.4215,0.215,0.629,0.156,CNN,This 12-year-old who is battling a rare bone cancer had her wish granted when she got to see the ocean and learn to… https://t.co/OqpMmp7aoA,44
244,0.0,0.0,1.0,0.0,CNN,Newly-discovered fossils suggest giant dinosaurs evolved millions of years earlier than scientists thought https://t.co/1qJw5J5dhi,45
245,0.0,0.0,1.0,0.0,CNN,"Meet Care-E, the automated airport assistant that scans a boarding pass, carries luggage and guides passengers to t… https://t.co/c12TfEbuCS",46
246,0.4404,0.0,0.868,0.132,CNN,"Scientists have discovered the world's oldest color. It's bright pink -- the color of bubble gum, flamingos and cot… https://t.co/pXGHjWw5yb",47
247,0.7096,0.0,0.772,0.228,CNN,"From the biggest street art party in Hong Kong to a community art tour, here are six Instagrammable ways to enjoy H… https://t.co/1MJl9Bgfc1",48
248,0.0,0.0,1.0,0.0,CNN,"Stitch Fix is tapping into the children's apparel market, launching subscription boxes with sizes 2T to 14. Founder… https://t.co/VE939a8HoA",49
